date,site_id,units_produced,downtime_minutes,power_kwh,rework_units,defects_ppm,staff_count,material_cost_per_unit,price_per_unit,temperature_c,rainfall_mm,holiday_flag
2025-01-01,S1,1313,54,4625,38,611,54,71.92,95.99,22.0,0.0,0
2025-01-02,S1,1267,69,4372,24,502,55,72.08,95.97,21.9,2.5,0
2025-01-03,S1,0,0,0,0,0,0,0.0,0.0,19.9,0.0,1
2025-01-04,S1,1118,20,3787,27,517,53,72.39,96.09,20.8,0.0,0
2025-01-05,S1,988,45,3425,23,426,52,71.9,96.36,20.8,0.0,0
2025-01-06,S1,1402,77,4978,40,476,56,72.11,96.06,20.8,0.0,0
2025-01-07,S1,1248,65,4108,26,542,54,72.13,96.13,22.1,0.0,0
2025-01-08,S1,1257,69,4206,23,402,55,71.98,96.2,19.7,0.0,0
2025-01-09,S1,1360,28,4821,31,394,56,71.9,96.61,23.5,0.0,0
2025-01-10,S1,1256,96,4361,32,474,54,72.29,96.36,22.8,0.0,0
2025-01-11,S1,1247,43,3983,35,486,51,72.2,96.38,21.5,0.0,0
2025-01-12,S1,1164,41,4084,25,288,52,72.06,96.68,23.7,0.0,0
2025-01-13,S1,1252,60,4141,33,508,55,71.94,96.71,20.9,0.0,0
2025-01-14,S1,1078,40,3793,22,499,54,72.38,96.69,21.2,0.0,0
2025-01-15,S1,1084,44,3618,25,315,54,72.35,96.85,21.5,0.0,0
2025-01-16,S1,1112,82,4054,29,434,55,72.71,96.79,19.0,0.0,0
2025-01-17,S1,1448,82,5165,33,450,55,72.33,96.83,20.7,0.0,0
2025-01-18,S1,1195,48,4024,20,308,53,72.78,96.98,21.9,0.0,0
2025-01-19,S1,928,41,3065,18,419,52,72.32,96.89,21.0,0.0,0
2025-01-20,S1,1324,52,4394,31,340,56,72.43,96.81,23.2,0.0,0
2025-01-21,S1,1425,52,4982,22,497,55,72.49,96.9,23.7,0.0,0
2025-01-22,S1,1269,33,4280,37,470,57,72.49,97.21,21.4,2.0,0
2025-01-23,S1,1381,19,4667,39,320,56,72.52,97.21,20.3,0.0,0
2025-01-24,S1,1302,58,4366,33,413,57,72.32,97.25,21.6,0.0,0
2025-01-25,S1,1156,77,3976,34,403,55,72.51,97.27,21.7,0.0,0
2025-01-26,S1,1061,68,3841,19,424,56,72.41,97.05,19.8,0.0,0
2025-01-27,S1,1242,70,4255,18,531,54,73.18,97.07,21.6,0.0,0
