date,site_id,units_produced,downtime_minutes,power_kwh,rework_units,defects_ppm,staff_count,material_cost_per_unit,price_per_unit,temperature_c,rainfall_mm,holiday_flag
2025-01-01,S1,1220,32,4221,22,518,51,72.14,96.06,22.9,0.0,0
2025-01-02,S1,1358,41,4516,30,469,54,72.12,96.05,22.4,0.0,0
2025-01-03,S1,1176,15,3991,26,364,53,72.16,96.08,22.3,0.0,0
2025-01-04,S1,1190,67,4155,26,222,56,72.48,96.3,20.3,0.0,0
2025-01-05,S1,1074,53,3727,26,439,51,72.47,96.26,23.6,0.0,0
2025-01-06,S1,1271,58,4520,34,445,53,72.19,96.2,22.6,0.0,0
2025-01-07,S1,1209,78,4345,34,427,54,71.84,96.35,21.4,0.0,0
2025-01-08,S1,1343,55,4665,26,378,56,71.95,96.21,24.5,0.0,0
2025-01-09,S1,1277,69,4483,34,239,54,72.34,96.02,22.4,0.0,0
2025-01-10,S1,1034,72,3437,29,535,53,72.19,96.45,23.7,0.0,0
2025-01-11,S1,1210,61,4129,27,529,53,72.08,96.37,23.4,0.0,0
2025-01-12,S1,1106,60,3727,23,544,50,71.89,96.13,23.3,0.0,0
2025-01-13,S1,1226,49,4108,18,574,54,71.95,96.41,20.8,0.0,0
2025-01-14,S1,1414,44,4695,30,319,58,72.4,96.12,22.4,0.0,0
2025-01-15,S1,1267,59,4413,25,325,52,71.84,96.25,20.8,0.0,0
2025-01-16,S1,1180,62,3944,23,421,53,72.13,96.52,23.5,0.0,0
2025-01-17,S1,1325,38,4474,22,371,55,71.85,96.3,23.0,0.0,0
2025-01-18,S1,1308,92,4830,20,360,56,72.26,96.57,22.3,0.0,0
2025-01-19,S1,897,73,3145,22,615,50,71.98,96.59,23.6,0.0,0
2025-01-20,S1,1337,34,4583,27,401,56,72.41,96.83,21.0,0.0,0
2025-01-21,S1,1213,49,4277,35,386,57,72.62,96.73,23.8,0.0,0
2025-01-22,S1,1414,60,4776,34,553,57,72.24,96.62,22.6,2.9,0
2025-01-23,S1,1407,71,4935,38,512,55,72.05,96.5,22.5,0.0,0
2025-01-24,S1,0,0,0,0,0,0,0.0,0.0,23.8,0.0,1
2025-01-25,S1,1259,242,6308,38,444,56,72.5,96.68,21.1,0.0,0
2025-01-26,S1,905,51,3103,15,470,53,72.74,96.73,22.4,0.0,0
2025-01-27,S1,1422,61,4935,31,380,54,72.2,96.79,22.0,0.0,0
2025-01-28,S1,1087,49,3631,33,397,51,72.55,96.92,18.9,0.0,0
2025-01-29,S1,1255,74,4415,33,401,55,72.07,96.89,21.8,0.0,0
2025-01-30,S1,1370,55,4530,30,544,53,72.58,96.95,21.1,0.0,0
2025-01-31,S1,1046,67,3619,31,481,56,72.6,96.8,21.1,3.0,0
2025-02-01,S1,1229,58,4141,30,560,55,72.76,96.83,20.0,0.0,0
2025-02-02,S1,1031,61,3687,20,438,52,72.92,96.71,23.1,0.0,0
2025-02-03,S1,0,0,0,0,0,0,0.0,0.0,22.1,0.0,1
2025-02-04,S1,1196,39,4097,25,547,56,72.19,97.4,22.5,0.0,0
2025-02-05,S1,1307,103,4976,35,471,54,72.77,96.84,22.9,0.0,0
2025-02-06,S1,1386,60,4536,30,373,56,72.26,96.98,21.2,0.0,0
2025-02-07,S1,1298,41,4515,26,474,56,72.41,97.03,23.1,0.0,0
2025-02-08,S1,1250,26,4138,19,541,54,72.3,97.26,23.2,0.0,0
2025-02-09,S1,1087,58,3660,22,478,52,72.04,97.32,23.6,0.0,0
2025-02-10,S1,1259,42,4327,25,537,54,72.28,97.38,22.1,0.0,0
2025-02-11,S1,1381,56,4556,41,360,55,72.42,97.02,21.5,0.0,0
2025-02-12,S1,1285,69,4616,35,461,54,72.07,97.33,22.8,0.0,0
2025-02-13,S1,1363,23,4503,24,350,55,73.09,97.17,23.1,0.0,0
2025-02-14,S1,1348,20,4590,22,420,54,72.46,97.11,21.5,0.0,0
2025-02-15,S1,1260,49,4563,34,346,55,72.74,97.05,23.0,0.0,0
2025-02-16,S1,863,74,3051,25,394,51,72.78,97.31,21.9,0.0,0
2025-02-17,S1,1331,75,4597,27,386,54,72.47,97.14,24.2,0.0,0
2025-02-18,S1,1152,44,3858,29,480,53,72.49,97.39,20.6,0.0,0
2025-02-19,S1,0,0,0,0,0,0,0.0,0.0,22.8,0.0,1
2025-02-20,S1,1127,80,3854,24,403,52,72.79,97.37,21.7,0.0,0
2025-02-21,S1,1409,26,5017,24,396,54,72.82,97.4,25.7,0.0,0
2025-02-22,S1,1236,52,4005,25,387,53,72.81,97.5,20.3,0.0,0
2025-02-23,S1,1054,77,3810,16,411,50,72.28,97.8,22.8,0.0,0
2025-02-24,S1,1123,46,3857,23,319,54,72.84,97.59,21.4,0.0,0
2025-02-25,S1,1117,72,3968,33,637,53,73.03,97.42,23.1,0.0,0
2025-02-26,S1,1387,39,4786,25,502,55,72.79,97.79,23.7,0.0,0
2025-02-27,S1,1355,43,4700,30,407,57,72.69,97.56,21.5,0.0,0
2025-02-28,S1,1366,40,4714,22,509,56,72.94,97.59,21.8,0.0,0
2025-03-01,S1,1126,50,3776,28,475,54,72.49,97.87,22.7,0.0,0
2025-03-02,S1,1010,271,5572,27,507,52,72.9,97.69,21.5,0.0,0
2025-03-03,S1,1209,55,4103,33,427,54,72.88,97.71,22.9,0.0,0
2025-03-04,S1,1419,69,4872,25,329,56,72.65,97.85,22.9,0.0,0
2025-03-05,S1,1455,45,4928,33,373,55,72.99,97.61,20.6,0.0,0
2025-03-06,S1,1329,51,4543,30,463,54,73.06,97.8,21.8,0.0,0
2025-03-07,S1,1095,73,4223,32,395,54,72.78,97.79,22.5,0.0,0
2025-03-08,S1,1369,92,4991,31,557,56,73.0,97.97,22.8,0.0,0
2025-03-09,S1,996,49,3364,28,507,53,73.03,97.79,23.4,0.0,0
2025-03-10,S1,1170,34,4197,22,385,52,72.7,97.93,24.1,0.0,0
2025-03-11,S1,1465,33,4810,28,607,54,72.55,97.89,21.7,0.0,0
2025-03-12,S1,1177,68,4338,27,438,52,72.68,98.02,23.5,0.0,0
2025-03-13,S1,1191,59,4066,24,408,55,73.01,97.64,22.0,0.0,0
2025-03-14,S1,0,0,0,0,0,0,0.0,0.0,24.0,0.0,1
2025-03-15,S1,1043,71,3563,28,608,53,73.38,98.22,24.6,4.2,0
2025-03-16,S1,1133,44,3769,22,437,53,73.03,98.08,22.0,0.0,0
2025-03-17,S1,1343,66,4865,28,491,54,73.18,98.0,24.9,0.0,0
2025-03-18,S1,1424,77,5274,34,381,55,73.09,97.89,25.1,0.0,0
2025-03-19,S1,1427,63,4816,40,568,57,73.43,98.39,24.3,0.0,0
2025-03-20,S1,1362,76,4646,42,471,54,73.09,97.96,25.7,0.0,0
2025-03-21,S1,1317,73,4944,23,365,55,73.07,97.94,24.7,0.0,0
2025-03-22,S1,1325,34,4708,33,368,54,73.42,97.99,25.1,0.0,0
2025-03-23,S1,930,54,3206,19,502,53,72.93,98.23,24.0,0.0,0
2025-03-24,S1,1345,78,4886,34,442,51,72.92,98.4,24.8,0.0,0
2025-03-25,S1,1291,65,4259,32,307,53,73.07,98.16,24.6,0.0,0
2025-03-26,S1,1281,57,4302,24,362,52,73.0,98.1,24.0,0.0,0
2025-03-27,S1,1224,56,4150,21,520,55,73.72,98.3,23.4,0.0,0
2025-03-28,S1,1305,66,4607,34,494,52,73.03,98.56,24.8,0.0,0
2025-03-29,S1,1348,42,4466,29,539,54,73.18,98.45,26.1,0.0,0
2025-03-30,S1,0,0,0,0,0,0,0.0,0.0,27.1,0.0,1
2025-03-31,S1,0,0,0,0,0,0,0.0,0.0,24.2,0.0,1
2025-01-01,S2,1597,55,5307,31,470,64,69.25,92.82,22.9,0.0,0
2025-01-02,S2,1541,68,5398,29,476,61,69.12,92.83,22.4,0.0,0
2025-01-03,S2,1439,39,4716,32,458,60,69.02,93.14,22.3,0.0,0
2025-01-04,S2,1446,73,4998,33,431,60,68.87,92.68,20.3,0.0,0
2025-01-05,S2,1204,41,3857,33,358,60,69.17,93.19,23.6,0.0,0
2025-01-06,S2,1341,59,4464,27,471,58,69.4,92.92,22.6,0.0,0
2025-01-07,S2,1578,87,5329,43,452,62,68.9,92.99,21.4,0.0,0
