date,site_id,units_produced,downtime_minutes,power_kwh,rework_units,defects_ppm,staff_count,material_cost_per_unit,price_per_unit,temperature_c,rainfall_mm,holiday_flag
2025-01-01,S1,1392,77,4815,31,455,52,72.12,95.78,22.8,0.0,0
2025-01-02,S1,1294,55,4382,31,432,53,72.0,95.84,22.2,0.0,0
2025-01-03,S1,1128,60,3565,32,591,53,72.01,96.06,22.8,0.0,0
2025-01-04,S1,1116,71,3883,27,573,55,72.02,96.05,21.4,0.0,0
2025-01-05,S1,1034,60,3502,15,361,53,72.34,96.11,24.8,0.0,0
2025-01-06,S1,1388,55,4657,30,572,56,72.11,95.89,22.7,1.0,0
2025-01-07,S1,0,0,0,0,0,0,0.0,0.0,23.1,1.2,1
2025-01-08,S1,1157,77,4070,26,564,52,72.49,96.1,24.1,0.0,0
2025-01-09,S1,1331,87,5023,22,412,57,71.26,96.01,22.7,0.0,0
2025-01-10,S1,1157,57,3825,34,603,53,72.27,96.36,21.8,0.0,0
2025-01-11,S1,1328,72,4739,25,500,55,72.57,96.0,22.6,0.0,0
2025-01-12,S1,1059,82,3778,16,345,51,72.09,95.83,22.0,0.0,0
2025-01-13,S1,1133,241,5737,22,269,51,72.63,96.21,21.8,0.0,0
2025-01-14,S1,1350,240,6331,21,461,54,71.38,96.06,20.8,0.0,0
2025-01-15,S1,1118,54,3897,24,550,55,72.58,96.13,23.3,0.0,0
2025-01-16,S1,0,0,0,0,0,0,0.0,0.0,21.2,0.0,1
2025-01-17,S1,1273,90,4601,35,584,55,71.91,96.07,21.9,0.0,0
2025-01-18,S1,1039,70,3535,30,327,52,71.92,95.98,22.1,0.0,0
2025-01-19,S1,1033,79,3539,25,478,54,72.62,95.93,23.1,0.0,0
2025-01-20,S1,1286,40,4575,25,471,53,72.75,95.94,21.3,0.7,0
2025-01-21,S1,1339,80,4512,34,506,54,72.85,96.15,21.8,0.0,0
2025-01-22,S1,1449,74,4939,36,659,56,71.78,96.09,22.4,0.0,0
2025-01-23,S1,1361,28,4680,24,571,55,72.59,96.05,21.0,0.0,0
2025-01-24,S1,1385,81,4781,30,456,56,71.99,95.9,20.8,0.0,0
2025-01-25,S1,0,0,0,0,0,0,0.0,0.0,21.2,0.0,1
2025-01-26,S1,0,0,0,0,0,0,0.0,0.0,21.0,0.0,1
2025-01-27,S1,1336,39,4379,36,495,57,71.73,96.31,21.8,0.0,0
2025-01-28,S1,1181,67,4154,28,386,55,71.94,96.33,21.6,0.0,0
2025-01-29,S1,1394,52,4478,30,534,56,72.5,96.15,22.1,0.0,0
2025-01-30,S1,1256,55,4146,32,598,51,71.9,96.21,23.3,0.0,0
2025-01-31,S1,1292,28,4421,28,413,55,72.12,96.45,23.0,6.5,0
2025-02-01,S1,1114,52,3849,26,523,52,72.37,96.09,20.1,0.0,0
2025-02-02,S1,919,12,3123,20,374,50,72.32,96.29,24.7,0.0,0
2025-02-03,S1,0,0,0,0,0,0,0.0,0.0,23.7,0.0,1
2025-02-04,S1,1127,57,3911,32,389,50,72.32,96.23,23.7,0.0,0
2025-02-05,S1,996,52,3107,30,401,53,72.02,96.29,23.8,0.0,0
2025-02-06,S1,1310,27,4363,32,359,58,72.14,96.34,21.8,0.0,0
2025-02-07,S1,1435,52,4819,35,476,54,72.44,96.32,21.8,0.0,0
2025-02-08,S1,1116,64,3778,23,615,52,72.44,96.39,22.1,0.0,0
2025-02-09,S1,960,60,3214,24,483,51,72.44,96.22,23.2,0.0,0
2025-02-10,S1,1303,60,4258,21,522,56,72.51,96.29,22.5,0.0,0
2025-02-11,S1,1291,80,4635,34,578,56,72.51,96.32,21.8,0.0,0
2025-02-12,S1,1248,249,6132,34,497,56,72.22,96.45,23.9,0.0,0
2025-02-13,S1,1415,62,4742,38,484,58,72.34,96.1,20.9,0.0,0
2025-02-14,S1,1197,17,4276,23,507,54,72.77,96.14,20.5,0.0,0
2025-02-15,S1,1350,23,4774,37,385,52,72.03,96.48,24.2,0.0,0
2025-02-16,S1,1067,52,3559,32,447,53,72.5,96.31,22.1,0.0,0
2025-02-17,S1,1386,64,4935,24,419,56,72.34,96.55,22.7,0.0,0
2025-02-18,S1,1443,64,4654,22,574,55,72.63,96.2,19.6,0.0,0
2025-02-19,S1,1163,81,4047,35,446,53,72.27,96.38,20.6,0.0,0
2025-02-20,S1,1299,24,4383,33,322,53,72.35,96.56,22.6,0.0,0
2025-02-21,S1,1187,62,3916,26,319,52,72.44,96.42,19.9,0.0,0
2025-02-22,S1,1383,55,4708,33,416,54,72.11,96.34,22.3,0.0,0
2025-02-23,S1,1141,33,3989,18,483,51,72.53,96.2,21.9,0.0,0
2025-02-24,S1,1123,78,4000,34,416,53,72.14,96.5,25.0,0.0,0
2025-02-25,S1,1219,52,4090,19,425,55,72.37,96.33,21.7,0.0,0
2025-02-26,S1,1415,34,4887,26,295,55,72.29,96.29,23.3,0.0,0
2025-02-27,S1,1285,63,4495,19,490,55,72.41,96.3,23.2,0.0,0
2025-02-28,S1,1259,60,4434,26,622,53,72.95,96.38,22.4,0.0,0
2025-03-01,S1,1252,93,4399,36,438,54,72.39,96.22,24.1,0.0,0
2025-03-02,S1,1143,300,6049,35,555,53,72.34,96.16,22.9,0.0,0
2025-03-03,S1,1315,31,4275,24,496,55,72.25,96.2,21.9,0.0,0
2025-03-04,S1,1184,45,3910,35,506,55,72.52,96.64,22.7,0.0,0
2025-03-05,S1,1155,70,4039,29,367,53,72.37,96.33,22.6,0.0,0
2025-03-06,S1,1291,58,4458,25,477,54,72.57,96.5,24.0,0.0,0
2025-03-07,S1,0,0,0,0,0,0,0.0,0.0,21.9,0.0,1
2025-03-08,S1,0,0,0,0,0,0,0.0,0.0,23.9,0.0,1
2025-03-09,S1,1021,24,3399,22,324,51,72.55,96.66,23.2,0.0,0
2025-03-10,S1,1314,29,4367,22,438,55,72.5,96.39,24.5,0.0,0
2025-03-11,S1,1246,38,4078,22,469,55,72.51,96.51,24.2,0.0,0
2025-03-12,S1,1324,50,4606,36,604,53,72.37,96.49,24.2,0.0,0
2025-03-13,S1,1202,71,4328,32,600,52,72.53,96.48,22.4,0.0,0
2025-03-14,S1,1439,55,4858,26,442,54,72.29,96.62,22.3,0.0,0
2025-03-15,S1,1159,32,3784,17,328,54,72.81,96.56,22.2,0.0,0
2025-03-16,S1,985,60,3398,22,483,50,72.88,96.44,22.8,0.0,0
2025-03-17,S1,1079,47,3830,17,361,52,72.85,96.63,24.2,0.0,0
2025-03-18,S1,1310,37,4252,36,457,55,72.94,96.65,25.0,0.0,0
2025-03-19,S1,1358,51,4892,29,435,52,72.71,96.46,25.5,0.0,0
2025-03-20,S1,1204,68,4235,17,442,52,72.55,96.52,26.2,0.0,0
2025-03-21,S1,1448,64,4999,27,557,55,73.02,96.71,24.7,0.0,0
2025-03-22,S1,1158,64,4033,29,487,53,72.89,96.72,23.4,1.0,0
2025-03-23,S1,1131,60,3952,31,476,50,72.37,96.73,23.8,2.1,0
2025-03-24,S1,1179,49,3893,29,369,55,72.82,96.56,23.9,3.2,0
2025-03-25,S1,1438,77,5044,33,560,56,73.0,96.57,25.6,1.5,0
2025-03-26,S1,1249,60,3997,28,440,55,72.83,96.86,23.3,0.0,0
2025-03-27,S1,1573,77,5675,41,433,59,72.14,96.78,23.0,1.8,0
2025-03-28,S1,1503,47,4992,40,575,58,72.77,96.48,25.9,0.0,0
2025-03-29,S1,1334,61,4418,22,328,55,72.62,96.4,25.5,0.0,0
2025-03-30,S1,1039,39,3592,25,429,51,72.74,96.64,24.5,0.0,0
2025-03-31,S1,1281,52,4642,33,270,54,72.62,96.52,25.2,0.0,0
2025-04-01,S1,1172,65,4096,22,434,52,72.77,96.66,24.5,0.0,0
2025-04-02,S1,1315,93,4701,21,328,54,72.75,96.94,23.1,0.0,0
2025-04-03,S1,1241,38,4282,20,365,54,72.99,96.47,26.4,0.0,0
2025-04-04,S1,1373,87,5123,38,479,54,73.01,96.72,24.9,0.0,0
2025-04-05,S1,1172,54,3788,16,465,54,72.75,96.45,25.9,0.0,0
2025-04-06,S1,1115,10,3726,17,621,53,73.1,96.79,25.3,0.9,0
2025-04-07,S1,1280,40,4233,21,478,52,72.97,96.86,23.9,0.0,0
2025-04-08,S1,1301,79,4738,34,387,52,73.02,96.92,25.5,0.3,0
2025-04-09,S1,1342,72,4641,20,582,55,72.85,96.93,26.4,0.0,0
2025-04-10,S1,1229,61,4318,31,410,52,73.25,96.65,26.4,8.9,0
2025-04-11,S1,1118,54,3797,18,380,52,72.9,97.04,26.8,3.0,0
2025-04-12,S1,1156,55,4187,22,493,54,72.74,96.27,25.9,0.0,0
2025-04-13,S1,1080,42,3561,32,495,54,72.96,96.75,21.9,0.0,0
2025-04-14,S1,1301,85,4840,20,328,53,72.67,96.87,26.2,0.0,0
2025-04-15,S1,1027,50,3355,21,388,53,72.71,96.65,25.3,0.0,0
2025-04-16,S1,1248,80,4553,29,393,53,72.73,96.65,28.5,0.0,0
2025-04-17,S1,1302,56,4604,22,406,53,72.73,96.76,23.8,0.0,0
2025-04-18,S1,1333,50,4684,21,460,56,72.73,96.52,25.3,0.0,0
2025-04-19,S1,1321,55,4407,40,284,55,72.82,96.74,28.1,1.5,0
2025-04-20,S1,1205,27,3889,27,154,54,73.03,96.72,27.8,0.0,0
2025-04-21,S1,1279,174,5643,20,470,54,72.9,96.67,27.1,0.0,0
2025-04-22,S1,0,0,0,0,0,0,0.0,0.0,26.0,0.0,1
2025-04-23,S1,1235,90,4758,33,472,55,73.08,96.77,28.7,0.0,0
2025-04-24,S1,1076,50,3511,20,395,51,72.77,96.62,25.2,0.0,0
2025-04-25,S1,1255,11,4385,19,449,54,72.62,97.05,28.8,0.0,0
2025-04-26,S1,1123,79,3959,25,557,50,73.36,96.92,26.7,0.0,0
2025-04-27,S1,1056,55,3575,21,368,56,72.82,96.65,25.9,0.0,0
2025-04-28,S1,1472,69,5091,28,386,57,72.94,96.82,27.0,0.0,0
2025-04-29,S1,1383,65,4919,31,540,53,73.06,96.77,27.5,0.0,0
2025-04-30,S1,1224,71,4458,34,460,55,72.99,96.61,27.3,0.0,0
2025-01-01,S2,1668,47,5303,30,415,62,69.48,93.05,22.8,0.0,0
2025-01-02,S2,1557,54,5205,33,367,64,69.21,93.08,22.2,0.0,0
2025-01-03,S2,1419,46,4689,39,356,61,69.29,93.1,22.8,0.0,0
2025-01-04,S2,1479,34,4870,20,560,66,68.84,92.78,21.4,0.0,0
2025-01-05,S2,1430,63,4915,21,474,61,69.43,93.02,24.8,0.0,0
2025-01-06,S2,1574,39,5198,39,704,61,69.45,93.24,22.7,1.0,0
2025-01-07,S2,0,0,0,0,0,0,0.0,0.0,23.1,1.2,1
2025-01-08,S2,1674,45,5425,40,405,63,68.74,92.92,24.1,0.0,0
2025-01-09,S2,1614,50,5394,36,354,63,68.92,93.39,22.7,0.0,0
2025-01-10,S2,1630,56,5301,31,372,63,69.08,93.32,21.8,0.0,0
2025-01-11,S2,1537,65,5042,38,616,61,69.25,93.29,22.6,0.0,0
2025-01-12,S2,1311,246,6155,36,485,59,69.42,93.41,22.0,0.0,0
2025-01-13,S2,1383,50,4531,27,449,62,69.16,93.35,21.8,0.0,0
2025-01-14,S2,1488,54,4691,38,493,61,68.79,93.15,20.8,0.0,0
2025-01-15,S2,1419,185,6054,33,409,61,68.87,93.47,23.3,0.0,0
2025-01-16,S2,0,0,0,0,0,0,0.0,0.0,21.2,0.0,1
2025-01-17,S2,1247,63,4223,23,487,58,69.35,93.14,21.9,0.0,0
2025-01-18,S2,1416,264,6703,19,456,60,69.12,93.37,22.1,0.0,0
