date,site_id,units_produced,downtime_minutes,power_kwh,rework_units,defects_ppm,staff_count,material_cost_per_unit,price_per_unit,temperature_c,rainfall_mm,holiday_flag
2025-01-01,S1,1280,34,4211,27,453,56,71.94,96.04,21.7,0.0,0
2025-01-02,S1,1249,193,5471,40,480,55,71.87,95.9,22.4,0.0,0
2025-01-03,S1,1163,43,4178,33,454,53,72.04,96.11,22.7,0.0,0
2025-01-04,S1,1348,32,4554,35,387,54,72.26,95.99,22.7,0.0,0
2025-01-05,S1,0,0,0,0,0,0,0.0,0.0,21.9,0.0,1
2025-01-06,S1,1367,85,4440,37,562,57,72.28,95.64,20.9,1.0,0
2025-01-07,S1,1305,5,4338,25,308,55,72.25,95.96,23.9,0.0,0
2025-01-08,S1,1289,60,4274,39,509,58,72.42,96.07,22.3,0.0,0
2025-01-09,S1,1393,42,4394,33,596,54,71.97,95.91,20.9,0.0,0
2025-01-10,S1,1230,72,4133,31,478,54,72.29,95.99,23.2,0.0,0
2025-01-11,S1,1168,76,3999,19,464,52,72.27,95.82,20.9,0.0,0
2025-01-12,S1,1104,293,5798,29,501,51,72.11,96.09,22.5,0.0,0
2025-01-13,S1,1234,77,4230,27,447,53,71.99,96.17,22.3,0.0,0
2025-01-14,S1,1242,58,4029,17,493,56,71.9,96.09,19.9,0.0,0
2025-01-15,S1,1383,69,4637,37,406,58,72.21,96.34,19.8,0.0,0
2025-01-16,S1,1176,58,3857,21,536,54,71.93,96.3,22.6,0.0,0
2025-01-17,S1,1373,94,4991,34,250,55,72.07,96.16,23.0,0.0,0
2025-01-18,S1,0,0,0,0,0,0,0.0,0.0,21.9,0.0,1
2025-01-19,S1,1126,67,3652,16,413,54,71.89,95.99,24.2,0.0,0
2025-01-20,S1,1084,55,3855,27,380,52,71.81,96.13,22.5,0.0,0
2025-01-21,S1,1158,60,3721,24,456,53,71.96,96.05,23.2,0.0,0
2025-01-22,S1,1379,55,4606,36,528,56,71.98,96.33,21.0,0.0,0
2025-01-23,S1,0,0,0,0,0,0,0.0,0.0,21.0,0.0,1
2025-01-24,S1,1314,69,4613,33,481,55,71.8,96.06,21.9,0.0,0
2025-01-25,S1,1292,43,4454,32,339,52,71.82,96.22,24.0,0.0,0
2025-01-26,S1,970,38,3242,20,491,50,72.13,96.17,22.9,0.0,0
2025-01-27,S1,1370,37,4545,36,573,55,72.44,96.31,24.3,0.0,0
2025-01-28,S1,1226,71,4004,34,354,56,71.93,96.28,20.5,0.0,0
2025-01-29,S1,1213,77,4264,30,495,52,72.12,96.18,22.5,0.0,0
2025-01-30,S1,1215,60,3879,28,401,55,72.02,96.03,22.1,0.0,0
2025-01-31,S1,1178,63,3861,32,454,54,72.25,96.16,20.8,0.0,0
2025-02-01,S1,1076,53,3549,23,428,55,71.73,96.31,22.8,0.4,0
2025-02-02,S1,948,52,2999,17,288,52,72.27,96.21,20.9,1.1,0
2025-02-03,S1,1234,30,4121,24,683,54,71.92,96.12,23.5,0.0,0
2025-02-04,S1,1310,68,4364,31,267,56,72.48,96.25,19.9,0.0,0
2025-02-05,S1,1351,59,4452,37,352,56,71.63,96.16,21.5,0.0,0
2025-02-06,S1,1304,60,4282,21,571,52,71.9,96.42,21.1,0.0,0
2025-02-07,S1,1297,74,4505,32,431,53,72.22,96.22,22.6,0.0,0
2025-02-08,S1,1119,58,3540,25,538,52,72.0,96.3,21.3,0.0,0
2025-02-09,S1,983,36,3562,21,272,53,72.4,96.58,23.1,0.3,0
2025-02-10,S1,1129,21,3657,22,405,52,72.17,96.44,20.9,0.0,0
2025-02-11,S1,988,42,3393,24,644,52,72.08,96.22,20.1,0.0,0
2025-02-12,S1,1461,49,4855,44,316,58,71.77,96.38,23.4,0.0,0
2025-02-13,S1,1225,33,3936,24,438,53,72.03,96.55,22.7,0.0,0
2025-02-14,S1,1291,80,4327,32,421,55,72.42,96.35,21.5,0.0,0
2025-02-15,S1,1217,46,3780,29,426,52,72.14,96.34,23.3,0.0,0
