date,site_id,units_produced,downtime_minutes,power_kwh,rework_units,defects_ppm,staff_count,material_cost_per_unit,price_per_unit,temperature_c,rainfall_mm,holiday_flag
2025-01-01,S1,1215,87,4504,37,383,54,71.62,95.92,23.6,0.0,0
2025-01-02,S1,1398,38,4696,41,359,55,72.3,95.86,19.9,0.0,0
2025-01-03,S1,1189,54,4092,19,446,53,72.27,96.07,23.2,0.0,0
2025-01-04,S1,1118,53,3843,19,370,54,72.22,96.28,22.2,0.0,0
2025-01-05,S1,1029,45,3663,18,600,52,71.59,96.48,22.6,0.0,0
2025-01-06,S1,1309,73,4728,38,519,56,71.82,96.24,23.2,0.0,0
2025-01-07,S1,1347,232,6231,18,507,53,71.98,96.0,22.1,0.0,0
2025-01-08,S1,1316,61,4523,32,468,55,72.03,96.41,23.5,0.0,0
2025-01-09,S1,1249,23,4163,29,500,52,72.2,96.27,24.9,0.0,0
2025-01-10,S1,1448,62,4828,26,438,57,72.04,96.22,22.5,0.0,0
2025-01-11,S1,1288,21,4519,29,364,54,72.34,96.32,24.1,0.0,0
2025-01-12,S1,1235,37,4268,23,375,53,72.46,96.5,22.1,0.0,0
2025-01-13,S1,0,0,0,0,0,0,0.0,0.0,22.8,0.0,1
2025-01-14,S1,1218,62,4146,23,521,53,72.29,96.41,21.2,0.0,0
2025-01-15,S1,1212,34,4191,26,353,57,72.25,96.51,21.5,0.0,0
2025-01-16,S1,1150,36,3813,32,360,52,72.6,96.84,20.2,0.0,0
2025-01-17,S1,1225,61,4263,26,553,54,72.81,96.96,20.4,3.0,0
2025-01-18,S1,970,56,3391,21,537,50,72.21,96.86,23.2,0.0,0
2025-01-19,S1,989,41,3368,14,514,49,72.34,97.14,21.8,0.0,0
2025-01-20,S1,1351,50,4509,29,378,57,72.37,96.8,21.1,0.0,0
2025-01-21,S1,1308,44,4588,22,439,54,72.24,96.89,22.7,0.0,0
2025-01-22,S1,0,0,0,0,0,0,0.0,0.0,21.8,0.0,1
2025-01-23,S1,1061,72,3743,18,530,52,73.07,96.74,21.3,0.0,0
