date,site_id,units_produced,downtime_minutes,power_kwh,rework_units,defects_ppm,staff_count,material_cost_per_unit,price_per_unit,temperature_c,rainfall_mm,holiday_flag
2025-01-01,S1,1152,29,3733,29,426,53,72.38,95.91,22.5,0.0,0
2025-01-02,S1,1321,54,4664,32,485,52,71.76,96.21,22.0,0.0,0
2025-01-03,S1,1300,180,5698,32,568,55,71.54,96.26,23.9,0.0,0
2025-01-04,S1,1222,39,4129,34,507,54,72.32,96.25,20.6,0.0,0
2025-01-05,S1,900,31,3066,27,443,53,72.71,96.37,25.1,0.0,0
2025-01-06,S1,1244,13,4317,17,334,54,72.23,96.37,25.7,0.0,0
2025-01-07,S1,1313,48,4427,36,407,57,72.47,96.92,23.3,0.0,0
2025-01-08,S1,1152,59,3924,26,548,55,72.25,96.71,22.5,0.0,0
2025-01-09,S1,0,0,0,0,0,0,0.0,0.0,24.0,0.0,1
2025-01-10,S1,1173,62,4223,19,492,53,72.68,97.0,19.5,0.0,0
2025-01-11,S1,1201,43,4249,21,481,55,72.78,97.06,22.6,0.0,0
2025-01-12,S1,1245,52,4140,31,475,53,72.9,97.06,22.6,0.0,0
2025-01-13,S1,1289,79,4458,31,399,53,72.68,97.26,19.1,0.0,0
2025-01-14,S1,1404,38,4726,22,469,56,73.06,97.39,21.8,0.0,0
2025-01-01,S2,1440,281,6906,33,409,60,68.81,93.09,22.5,0.0,0
2025-01-02,S2,1380,89,4686,29,450,62,69.37,93.39,22.0,0.0,0
2025-01-03,S2,1654,55,5533,35,470,63,69.21,93.42,23.9,0.0,0
2025-01-04,S2,1302,49,4232,24,548,58,68.88,93.26,20.6,0.0,0
2025-01-05,S2,1351,19,4326,40,519,62,68.97,93.56,25.1,0.0,0
2025-01-06,S2,1545,45,5251,23,516,60,69.35,93.66,25.7,0.0,0
2025-01-07,S2,1532,61,4978,25,473,61,69.51,93.99,23.3,0.0,0
2025-01-08,S2,1668,59,5503,34,444,62,69.92,93.89,22.5,0.0,0
2025-01-09,S2,0,0,0,0,0,0,0.0,0.0,24.0,0.0,1
2025-01-10,S2,1402,49,4766,30,333,59,69.87,94.33,19.5,0.0,0
2025-01-11,S2,1446,59,4805,31,392,60,69.92,94.09,22.6,0.0,0
2025-01-12,S2,1289,45,4296,19,402,57,70.24,94.43,22.6,0.0,0
2025-01-13,S2,1599,54,5237,35,253,62,70.28,94.65,19.1,0.0,0
2025-01-14,S2,1390,60,4695,25,423,62,70.13,94.73,21.8,0.0,0
2025-01-01,S3,1310,71,4854,31,367,49,70.05,95.08,22.5,0.0,0
2025-01-02,S3,1335,104,5022,21,462,53,70.62,95.31,22.0,0.0,0
2025-01-03,S3,1346,63,4974,21,349,52,70.5,95.44,23.9,0.0,0
2025-01-04,S3,1061,38,3904,20,428,48,70.49,95.6,20.6,0.0,0
2025-01-05,S3,892,41,3475,21,233,48,70.61,95.79,25.1,0.0,0
2025-01-06,S3,971,21,3406,24,366,49,71.12,95.93,25.7,0.0,0
2025-01-07,S3,992,64,3805,20,495,48,70.97,96.32,23.3,0.0,0
2025-01-08,S3,1173,48,4175,25,415,51,71.38,96.29,22.5,0.0,0
2025-01-09,S3,0,0,0,0,0,0,0.0,0.0,24.0,0.0,1
2025-01-10,S3,1157,57,4254,22,451,48,71.88,96.76,19.5,0.0,0
2025-01-11,S3,1120,41,4156,24,531,49,71.73,97.52,22.6,0.0,0
2025-01-12,S3,1050,45,3942,25,468,52,71.09,97.29,22.6,0.0,0
2025-01-13,S3,1045,53,3531,19,446,48,71.73,97.44,19.1,0.0,0
2025-01-14,S3,1163,80,4498,32,455,51,71.21,97.78,21.8,0.0,0
2025-01-01,S4,1402,60,4758,26,249,56,71.17,96.8,22.5,0.0,0
2025-01-02,S4,1482,52,5132,24,530,58,71.26,97.18,22.0,0.0,0
2025-01-03,S4,1318,186,5995,33,481,56,70.82,97.16,23.9,0.0,0
2025-01-04,S4,1175,71,4085,32,482,55,71.31,97.32,20.6,0.0,0
2025-01-05,S4,1241,35,4411,36,330,56,72.11,97.26,25.1,0.0,0
2025-01-06,S4,1417,57,5110,34,284,54,71.89,97.67,25.7,0.0,0
2025-01-07,S4,1423,68,5182,34,359,55,71.98,97.65,23.3,0.0,0
2025-01-08,S4,1585,40,5935,32,465,56,71.69,97.94,22.5,0.0,0
2025-01-09,S4,0,0,0,0,0,0,0.0,0.0,24.0,0.0,1
2025-01-10,S4,1422,77,4739,32,713,56,72.14,97.95,19.5,0.0,0
2025-01-11,S4,1247,54,4318,32,438,54,72.52,97.97,22.6,0.0,0
2025-01-12,S4,1289,66,4424,31,612,53,72.2,98.13,22.6,0.0,0
2025-01-13,S4,1404,69,4868,27,444,58,72.75,98.33,19.1,0.0,0
2025-01-14,S4,1485,64,5029,26,465,59,72.07,98.18,21.8,0.0,0
